EVENT_ID;PAGE_URL;EVENT_TYPE;USER_ID;PRODUCT_ID;SESSION_ID;CREATED_AT;ORDER_ID
002893a9-97ba-44e3-98a6-9f472c57d206;https://greenary.com/shipping/2fafb5c6-5200-4d9a-af6b-b6517667a1ea;package_shipped;60bc96e0-dcf5-438d-8e11-7ab3f6ac6e96;;70bcfa08-ddf5-47a4-8cc7-1192afae21d0;2021-11-02 06:09:43.000;2fafb5c6-5200-4d9a-af6b-b6517667a1ea
002e3464-8352-48ae-9fc2-551f7b83c07f;https://greenary.com/product/579f4cd0-1f45-49d2-af55-9ab2b72c3b35;page_view;dbc936d7-51da-4dfa-9dd9-7ce399b466df;579f4cd0-1f45-49d2-af55-9ab2b72c3b35;00b3765f-3af3-4cbf-9fba-904daf17faff;2021-10-02 02:59:43.000;
00696235-7208-4456-8016-115b6c25ae59;https://greenary.com/product/b86ae24b-6f59-47e8-8adc-b17d88cbd367;page_view;d1f08820-32e6-4a31-abba-5aa533bc15a9;b86ae24b-6f59-47e8-8adc-b17d88cbd367;658f0b15-d781-4a0d-9cd9-494ab39dbe24;2021-11-02 14:24:45.000;
00c539f7-cf57-401b-8a7f-cb190dda7a47;https://greenary.com/product/55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3;page_view;d1f08820-32e6-4a31-abba-5aa533bc15a9;55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3;667b2e0a-7e7e-41c1-b242-5038125b4c46;2021-11-02 14:24:07.000;
00c5b8e6-878f-498a-bc7c-2bcf20d3547f;https://greenary.com/product/5b50b820-1d0a-4231-9422-75e7f6b0cecf;add_to_cart;63b87683-1c30-49e0-86f0-54d00b32052f;5b50b820-1d0a-4231-9422-75e7f6b0cecf;ca5820c8-8da8-4185-ac71-77fd5a139403;2021-10-02 15:35:14.000;
00d311e8-8960-4557-b185-38be98c7411b;https://greenary.com/product/4cda01b9-62e2-46c5-830f-b7f262a58fb1;page_view;d1f08820-32e6-4a31-abba-5aa533bc15a9;4cda01b9-62e2-46c5-830f-b7f262a58fb1;c5c606e8-b2b3-41ef-a867-65f09a446aed;2021-11-02 14:24:03.000;
00f63239-3e32-4444-a78b-58b435f1335c;https://greenary.com/product/fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80;page_view;6aff561d-fbd9-4130-8242-8b9073cc3a03;fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80;1c9fc396-ab99-4ebf-8659-43f3292c2bef;2021-11-02 20:53:11.000;
010103b5-9eb9-4046-88da-6f7052c61ac8;https://greenary.com/product/843b6553-dc6a-4fc4-bceb-02cd39af0168;page_view;02414bff-285d-4008-9352-ad50839b729f;843b6553-dc6a-4fc4-bceb-02cd39af0168;c8f9770e-fa80-4741-a110-b8d3c3ac296c;2021-10-02 22:40:50.000;
0151192c-1f2a-4787-827a-8edf941ecb65;https://greenary.com/product/579f4cd0-1f45-49d2-af55-9ab2b72c3b35;add_to_cart;0babae9e-2656-4dcb-b454-47d88d47c920;579f4cd0-1f45-49d2-af55-9ab2b72c3b35;61c8f171-2abf-49b1-be96-1335bca9a1c3;2021-11-02 08:25:23.000;
0165361b-c20b-4e4d-95ed-4b224dffe57c;https://greenary.com/product/e2e78dfc-f25c-4fec-a002-8e280d61a2f2;page_view;d1f08820-32e6-4a31-abba-5aa533bc15a9;e2e78dfc-f25c-4fec-a002-8e280d61a2f2;6e2e356f-c2e4-4585-beb6-626713dd6d60;2021-11-02 14:24:58.000;
