ORDER_ID;SHIPPING_SERVICE;SHIPPING_COST;ADDRESS_ID;CREATED_AT;PROMO_ID;ESTIMATED_DELIVERY_AT;ORDER_COST;USER_ID;ORDER_TOTAL;DELIVERED_AT;TRACKING_ID;STATUS
002f22d6-25a3-48e4-aaa9-36be31e57185;ups;9,58;184b47dd-af07-4299-b872-5cfb6e4e7ac1;2021-02-10 14:15:40.000;;2021-02-11 14:15:40.000;75,5;48ebf150-7cb7-4358-a5ef-1a2b0aa831b9;85,08;NULL;0a40d2fd-12bc-4a3a-94b0-50fd69bda883;delivered
01e059c6-9aee-4dfe-b5b5-8c403bb21a82;usps;9,72;9285957a-e1fd-4205-960e-f739a9c7dfd2;2021-02-10 12:51:19.000;Optional;2021-02-14 12:51:19.000;45,75;db41a6d4-70fc-43b1-82a5-393b46a2bdfa;38,47;NULL;b3dcd35d-2d18-4e48-b35f-57ddacbcb8d0;delivered
0322c87a-dccc-4c1d-a639-2404c00c7871;ups;1,37;184b47dd-af07-4299-b872-5cfb6e4e7ac1;2021-02-11 23:45:41.000;;2021-02-16 23:45:41.000;229;44b36e47-f501-4328-9df5-927222167a3d;230,37;NULL;89b43e10-0740-4c67-bf4b-e4c15677182d;delivered
03232fbc-033a-4ba9-b0d7-195b987682ef;ups;5,83;632eadda-3e81-492c-8108-d5982aeac84d;2021-02-10 01:30:52.000;;2021-02-15 01:30:52.000;342;2f0a3789-41ac-4732-bf29-b3ea5f4ed831;347,83;NULL;824da197-861b-4e3f-be1a-3abad6af5eb7;delivered
032b02a8-84fe-4c54-950a-e5757021ecc2;usps;3,65;bfee6b0f-d8ea-4626-9786-a0e1497bd07b;2021-02-10 06:01:02.000;;2021-02-12 06:01:02.000;30,5;60bc96e0-dcf5-438d-8e11-7ab3f6ac6e96;34,15;NULL;88ba004e-c17e-4587-bf3e-c76fe71731d7;delivered
03b5ede7-4f3e-4d17-a326-be5e27338501;fedex;1,69;e6572a36-e4ae-4daa-8c05-692490c310a1;2021-02-11 16:33:57.000;;2021-02-13 16:33:57.000;771,3;65b34b30-f96d-4230-b595-0c7c249de7e5;772,99;NULL;16795524-50f3-4d09-b79d-6d41726445a7;delivered
041ecc00-a968-4118-afd5-84093c4e7356;ups;7,5;d6e4e3d2-9e7c-454a-bae6-2339d80d23fd;2021-02-11 08:18:07.000;task-force;2021-02-15 08:18:07.000;90,5;93908a68-20b7-44ba-b6c1-6f4cc57d7726;96;NULL;482a1ea5-17e2-4e41-94e1-df428fedbd19;shipped
05202733-0e17-4726-97c2-0520c024ab85;;9,71;3a286955-76c1-4b50-b5fc-61e4e4e3be4d;2021-02-11 05:29:28.000;;NULL;441;5951d1d2-614e-4557-a2de-8298a1e4b179;450,71;NULL;;preparing
0669a520-9c7e-424d-a279-ee96f6f25aec;ups;4,35;c8e06217-c625-471f-8cdc-88c3e39f6b2c;2021-02-10 13:37:32.000;;NULL;86,25;78fe6452-8a56-4226-ae22-f372116b12ff;90,6;NULL;cf87b5ba-1e2f-4e3c-9102-eef6c220c5d1;delivered
06b914dd-d6fc-44ea-a52e-10eadebb5183;ups;7,5;131db634-55f8-4fb6-98f3-624ec32a94b8;2021-02-10 17:29:55.000;;2021-02-13 17:29:55.000;95;58367695-0c22-415d-9704-bd8f73bb2e8f;102,5;NULL;3330f149-af55-4680-a2c6-35501df5687b;delivered
